angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
29.00	1.45104E-5	
29.05	3.21084E-5	
29.10	8.41454E-5	
29.15	8.9729E-6	
29.20	6.09759E-5	
29.25	9.1999E-5	
29.30	7.11139E-5	
29.40	8.69034E-5	
29.45	7.88148E-5	
29.50	5.96552E-5	
29.55	0.000113324	
29.60	0.000147861	
29.65	0.000140784	
29.70	4.21634E-5	
29.75	9.83604E-5	
29.80	0.000109761	
29.85	5.06435E-5	
29.90	7.08641E-5	
29.95	0.000107783	
30.05	0.000103335	
30.10	0.000133857	
30.15	0.000113402	
30.20	0.000136216	
30.25	0.000121437	
30.30	7.11417E-6	
30.35	0.000370855	
30.40	0.000102305	
30.45	0.000123792	
30.50	4.11287E-5	
30.55	0.000158246	
30.60	0.000135923	
30.70	0.000119383	
30.75	0.000138051	
30.80	0.000160216	
30.85	0.000174173	
30.90	0.000141527	
30.95	0.000160331	
31.00	0.000172714	
31.05	0.000131902	
31.10	0.000178774	
31.15	0.00021351	
31.20	0.000176586	
31.30	0.000342107	
31.35	0.00018356	
31.40	0.000215369	
31.45	0.000222404	
31.50	0.000272089	
31.55	0.000202881	
31.60	0.000216044	
31.65	0.000282876	
31.70	0.000207314	
31.75	0.000229631	
31.80	0.000180107	
31.85	0.000279789	
31.95	0.000242626	
32.00	0.000263836	
32.05	0.000202855	
32.10	0.000240534	
32.15	0.000224688	
32.20	0.000273964	
32.25	0.000243368	
32.30	0.000262902	
32.35	0.000547167	
32.40	0.000276065	
32.45	0.000309894	
32.50	0.000501033	
32.60	0.000481397	
32.65	0.000474126	
32.70	0.000579543	
32.75	0.000559872	
32.80	0.00065004	
32.85	0.000627767	
32.90	0.000748087	
32.95	0.000739823	
33.00	0.000866732	
33.05	0.000892923	
33.10	0.000876511	
33.15	0.000976733	
33.25	0.00107202	
33.30	0.00113594	
33.35	0.000920371	
33.40	0.000874532	
33.45	0.00135711	
33.50	0.00148123	
33.55	0.00171119	
33.60	0.00173707	
33.65	0.00190658	
33.70	0.00200898	
33.75	0.00221382	
33.80	0.000961348	
33.85	0.00286292	
33.90	0.00255302	
33.95	0.00252262	
34.00	0.00292952	
34.20	0.00282407	
34.25	0.0023647	
34.30	0.00159799	
34.35	0.000884299	
34.40	0.000601683	
34.50	0.000130273	
34.55	6.75837E-5	
34.60	7.82957E-5	
34.65	4.30843E-5	
34.75	5.96948E-5	
34.80	1.91364E-5	
34.90	2.07383E-5	
35.00	7.6931E-6	
35.05	5.1468E-5	
35.50	0.00191642	
