angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0	
29.00	8.6107E-5	
29.05	4.44819E-5	
29.10	-5.57847E-6	
29.15	7.79016E-5	
29.20	5.36653E-5	
29.25	0.000100481	
29.30	3.22183E-5	
29.35	4.12292E-5	
29.40	2.89585E-5	
29.45	1.00228E-5	
29.50	5.8364E-5	
29.55	1.86215E-5	
29.60	0.0130886	
29.65	1.22435E-5	
29.70	0.000112121	
29.75	4.67276E-5	
29.80	0.000160377	
29.85	4.44495E-5	
29.90	0.000100351	
29.95	9.50101E-5	
30.00	4.08663E-5	
30.05	9.3983E-5	
30.10	0.000132688	
30.15	0.000111817	
30.20	0.000147503	
30.25	0.0121283	
30.30	5.31164E-5	
30.35	7.17625E-5	
30.40	0.000129414	
30.45	0.000106608	
30.50	9.66117E-5	
30.55	7.212E-5	
30.60	7.56389E-5	
30.65	7.46421E-5	
30.70	0.000107345	
30.75	8.51774E-5	
30.80	7.55985E-5	
30.85	0.0123756	
30.90	-5.47352E-5	
30.95	0.000168614	
31.00	6.23563E-5	
31.05	0.000135848	
31.10	0.000159562	
31.15	7.84438E-5	
31.20	0.00014759	
31.25	0.000129576	
31.30	8.43844E-5	
31.35	0.000114788	
31.40	0.000101747	
31.45	8.65711E-5	
31.50	0.0124124	
31.55	0.000129704	
31.60	6.32965E-5	
31.65	0.000174271	
31.70	0.000182057	
31.75	0.000152072	
31.80	0.000123391	
31.85	0.000167875	
31.90	0.000155075	
31.95	6.02937E-5	
32.00	0.000120913	
32.05	0.000163046	
32.10	0.000241431	
32.15	0.0138799	
32.20	0.000133555	
32.25	0.000142505	
32.30	0.000152962	
32.35	0.000209539	
32.40	0.000236118	
32.45	0.00018498	
32.50	0.000204834	
32.55	0.000212962	
32.60	0.000184147	
32.65	0.000165584	
32.70	0.000279726	
32.75	0.000278258	
32.80	0.0178488	
32.85	0.000357502	
32.90	0.000343947	
32.95	0.000317684	
33.00	0.000408186	
33.05	0.000415338	
33.10	0.000395757	
33.15	0.000394172	
33.20	0.000451976	
33.25	0.000485901	
33.30	0.000547524	
33.35	0.00057783	
33.40	0.00688046	
33.45	-9.73506E-5	
33.50	0.000512052	
33.55	0.000711096	
33.60	0.00071659	
33.65	0.000731363	
33.70	0.000787078	
33.75	0.000868044	
33.80	0.000867561	
33.85	0.000895215	
33.90	0.00097317	
33.95	0.0009916	
34.00	0.000941298	
34.05	0.0166015	
34.10	0.00110863	
34.15	0.00104963	
34.20	0.000994628	
34.25	0.000763514	
34.30	0.000636101	
34.35	0.000388739	
34.40	0.000224984	
34.45	0.000100017	
34.50	4.50802E-5	
34.55	2.65768E-5	
34.60	4.65E-5	
34.65	-5.62364E-5	
34.70	0.0206508	
34.75	-2.26134E-5	
34.80	3.02971E-5	
34.85	-1.17976E-5	
34.90	-1.73692E-5	
34.95	5.44939E-5	
35.00	-6.10774E-5	
35.05	-4.82503E-5	
35.10	-3.12988E-5	
35.15	4.18235E-5	
35.20	-3.17078E-5	
35.25	2.24737E-6	
35.30	-4.22474E-5	
35.35	0.0239473	
35.40	-6.10308E-5	
35.45	-2.68512E-5	
35.50	-8.22849E-6	
